분류번호,측정소명,년/월/일,회차,경도,위도,채수시각,수심(m),수온(℃),DO,BOD(㎎/L),COD(㎎/L),SS(㎎/L),TN(㎎/L),TP(㎎/L),TOC(㎎/L),경도_십진수,위도_십진수
5003A60,지석천4,2025-01-02,1회차,"126°46'47.4""","35°3'6.7""",10:30,,3.5,14.7,1.5,4.2,3.2,5.373,0.088,3.2,126.7798333,35.05186111
2014A60,창녕,2025-01-02,1회차,"128°21'30.9""","35°36'40.7""",11:27,,6.8,11.9,1.1,6.1,2,3.453,0.024,1.9,128.3585833,35.61130556
5101A55,탐진강5,2025-01-02,1회차,"126°48'46.68""","34°38'8.21""",14:00,,5.2,14.9,1.3,3.5,2.2,1.491,0.032,2.6,126.8129667,34.63561389
2020A45,하남,2025-01-02,1회차,"128°42'14.3""","35°22'17.9""",13:20,,6.4,13,1.3,5.8,3,2.767,0.019,1.7,128.7039722,35.37163889
4009A50,하동,2025-01-02,1회차,"127°44'21.9""","35°3'48.2""",13:02,,6.6,12.4,0.3,2.2,8.8,1.642,0.018,1.4,127.7394167,35.06338889
2201A48,학성,2025-01-02,1회차,"129°20'24.9""","35°32'57.3""",14:39,,8.6,13.3,2.2,3.7,4.8,1.557,0.031,2.8,129.34025,35.54925
5002A40,황룡강5,2025-01-02,1회차,"126°47'1.68""","35°7'21.36""",11:40,,4.8,13.9,2.2,4.5,4.2,1.646,0.035,3.6,126.7838,35.1226
1006A25,계천2,2025-01-03,1회차,"128°0'42.48""","37°31'59.52""",13:02,,3.7,12.3,0.6,3.3,1.9,2.085,0.003,1.9,128.0118,37.5332
2014A20,고령,2025-01-03,1회차,"128°23'14.42""","35°45'10.99""",9:50,,5.9,12.7,1.5,4.3,6.4,3.692,0.026,2.8,128.3873389,35.75305278
1006A30,금계천2,2025-01-03,1회차,"127°59'28.68""","37°31'14.16""",13:27,,1.2,13.8,0.6,2,0.4,3.61,0.004,1.3,127.9913,37.5206
1022A05,김화남대천,2025-01-03,1회차,"127°22'27.86""","38°14'45.2""",11:45,,3.8,13.3,0.6,1.8,1.1,3.805,0.007,1.2,127.3744056,38.24588889
2011A60,달성,2025-01-03,1회차,"128°27'40.3""","35°50'21.9""",11:10,,4.7,12.7,1,3.9,2,2.264,0.017,,128.4611944,35.83941667
1006A20,대관대천,2025-01-03,1회차,"128°2'38.4""","37°33'58.32""",13:13,,1.6,13.5,0.3,1.3,0.1,2.182,0.002,0.7,128.044,37.5662
3011A60,무심천2,2025-01-03,1회차,"127°29'1.82""","36°38'8.85""",13:17,,5.9,16.7,2.3,5.5,6.1,1.907,0.004,3.2,127.4838389,36.63579167
3007A10,보청천1,2025-01-03,1회차,"127°40'39.8""","36°32'32""",11:00,,6,12.6,0.3,1.3,1.2,1.778,0.009,1.5,127.6777222,36.54222222
3007A20,보청천2,2025-01-03,1회차,"127°43'26.8""","36°28'54.8""",11:20,,3.8,12.2,0.8,2.5,1.8,1.705,0.004,1.2,127.7241111,36.48188889
2009A20,산곡,2025-01-03,1회차,"128°20'32.64""","36°16'23.16""",13:10,,5.2,14,1,4.8,4.8,2.265,0.016,,128.3424,36.2731
3007A35,삼가천,2025-01-03,1회차,"127°48'42.2""","36°26'14""",11:42,,4.2,13.1,0.6,2.4,1.9,1.611,0.009,1.3,127.8117222,36.43722222
2007A20,상주1,2025-01-03,1회차,"128°16'9.2""","36°29'55.9""",12:00,,4.8,13,0.6,3.5,0.8,2.172,0.015,,128.2692222,36.49886111
2011A40,성주,2025-01-03,1회차,"128°23'18.96""","35°52'53.04""",10:40,,4.7,12.9,1.2,3.7,2,2.528,0.015,,128.3886,35.8814
3006A10,옥천,2025-01-03,1회차,"127°38'44.8""","36°16'59.6""",10:01,,2.8,13.7,0.4,3.2,0.8,2.11,0.009,1.6,127.6457778,36.28322222
3008A50,품곡천,2025-01-03,1회차,"127°31'32.9""","36°30'48.8""",10:05,,3.3,13.4,1.3,3.5,17.4,2.158,0.008,1.3,127.5258056,36.51355556
3007A30,항건천,2025-01-03,1회차,"127°41'17""","36°28'48.5""",10:43,,3.9,12,0.6,0.9,0.7,1.824,0.01,1.6,127.6880556,36.48013889
3008A60,현도,2025-01-03,1회차,"127°27'9.78""","36°26'56.95""",9:04,,7,10.4,0.5,4.2,1.9,1.348,0.011,2.3,127.4527167,36.44915278
2101A60,형산강5,2025-01-03,1회차,"129°20'39.84""","36°0'7.92""",12:50,,8.9,10,2.4,3.2,27.6,1.388,0.052,1.8,129.3444,36.0022
1014A20,홍천강1,2025-01-03,1회차,"127°52'44.4""","37°41'14.64""",11:59,,0.7,14,0.5,1.7,0.3,3.638,0.005,1,127.879,37.6874
1014A30,홍천강2,2025-01-03,1회차,"127°41'56.76""","37°41'57.12""",11:22,,0.4,13.8,0.6,1.6,0.6,3.757,0.005,1.2,127.6991,37.6992
