조사년도,조사회차,PTNM,학명,국명,개체밀도
2024,1,지장천3,Epeorus nipponicus,흰부채하루살이,4
2024,1,지장천3,Epeorus pellucidus,부채하루살이,356
2024,1,지장천3,Ephemera orientalis,동양하루살이,23
2024,1,지장천3,Eubrianax ramicornis,둥근물삿갓벌레,8
2024,1,지장천3,Hexatoma KUa,검정날개각다귀 KUa,4
2024,1,지장천3,Nigrobaetis bacillus,깜장하루살이,134
2024,1,지장천3,Protohermes xanthodes,노란뱀잠자리,23
2024,1,지장천3,Rhyacophila lata,올챙이물날도래,52
2024,1,지장천3,Stenopsyche marmorata,멋쟁이각날도래,15
2024,1,지장천3,Teloganopsis punctisetae,등줄하루살이,12
2024,2,지장천3,Antocha KUa,명주각다귀 KUa,37
2024,2,지장천3,Baetiella tuberculata,애호랑하루살이,34
2024,2,지장천3,Baetis ursinus,방울하루살이,160
2024,2,지장천3,Cheumatopsyche brevilineata,꼬마줄날도래,97
2024,2,지장천3,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),53
2024,2,지장천3,Ecdyonurus kibunensis,두점하루살이,26
2024,2,지장천3,Elmidae sp.,여울벌레류,12
2024,2,지장천3,Epeorus pellucidus,부채하루살이,23
2024,2,지장천3,Ephemerella atagosana,알락하루살이,12
2024,2,지장천3,Hydropsyche kozhantschikovi,줄날도래,52
2024,2,지장천3,Nigrobaetis bacillus,깜장하루살이,119
2024,2,지장천3,Rhyacophila yamanakensis,곤봉물날도래,4
2024,2,지장천3,Semisulcospira gottschei,곳체다슬기,34
2024,2,지장천3,Sieboldius albardae,어리장수잠자리,4
2024,2,지장천3,Simulium sp.,먹파리류,4
2024,2,지장천3,Stenopsyche marmorata,멋쟁이각날도래,30
2024,2,지장천3,Teloganopsis punctisetae,등줄하루살이,26
2024,1,영월1,Acentrella sibirica,콩알하루살이,23
2024,1,영월1,Antocha KUa,명주각다귀 KUa,34
2024,1,영월1,Baetiella tuberculata,애호랑하루살이,45
2024,1,영월1,Baetis fuscatus,개똥하루살이,8
2024,1,영월1,Baetis ursinus,방울하루살이,193
2024,1,영월1,Caenis sp.,등딱지하루살이류,8
2024,1,영월1,Ceraclea KUb,나비날도래 KUb,8
2024,1,영월1,Cheumatopsyche KUa,꼬마줄날도래 KUa,19
2024,1,영월1,Cheumatopsyche brevilineata,꼬마줄날도래,482
2024,1,영월1,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),408
2024,1,영월1,Corbicula (Corbiculina) fluminea,재첩,4
2024,1,영월1,Drunella ishiyamana,알통하루살이,23
2024,1,영월1,Dugesia sp.,플라나리아류,230
2024,1,영월1,Ecdyonurus kibunensis,두점하루살이,19
2024,1,영월1,Ecdyonurus levis,네점하루살이,23
2024,1,영월1,Epeorus pellucidus,부채하루살이,89
2024,1,영월1,Ephemera orientalis,동양하루살이,4
2024,1,영월1,Limnodrilus gotoi,실지렁이,8
2024,1,영월1,Nigrobaetis bacillus,깜장하루살이,12
2024,1,영월1,Optioservus sp.,작은무늬여울벌레류,8
2024,1,영월1,Serratella setigera,범꼬리하루살이,15
2024,1,영월1,Sisyridae sp.,꼭지풀잠자리류,8
2024,1,영월1,Stenelmis nipponica,곰보긴다리여울벌레,4
2024,1,영월1,Teloganopsis punctisetae,등줄하루살이,200
2024,2,영월1,Acentrella sibirica,콩알하루살이,4
2024,2,영월1,Baetiella tuberculata,애호랑하루살이,23
2024,2,영월1,Baetis fuscatus,개똥하루살이,467
2024,2,영월1,Baetis ursinus,방울하루살이,12
2024,2,영월1,Caenis sp.,등딱지하루살이류,4
2024,2,영월1,Cheumatopsyche KUa,꼬마줄날도래 KUa,141
2024,2,영월1,Cheumatopsyche brevilineata,꼬마줄날도래,134
2024,2,영월1,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),442
2024,2,영월1,Choroterpes (Euthraulus) altioculus,세갈래하루살이,345
2024,2,영월1,Dugesia sp.,플라나리아류,67
2024,2,영월1,Ecdyonurus kibunensis,두점하루살이,4
2024,2,영월1,Ecdyonurus levis,네점하루살이,71
2024,2,영월1,Epeorus pellucidus,부채하루살이,78
2024,2,영월1,Ephemera orientalis,동양하루살이,15
2024,2,영월1,Hydropsyche kozhantschikovi,줄날도래,12
2024,2,영월1,Hydropsyche orientalis,동양줄날도래,4
2024,2,영월1,Hydroptilidae sp.,애날도래류,15
2024,2,영월1,Limnodrilus gotoi,실지렁이,12
2024,2,영월1,Nigrobaetis bacillus,깜장하루살이,4
2024,2,영월1,Potamanthus formosus,작은강하루살이,8
2024,2,영월1,Rhoenanthus coreanus,강하루살이,12
2024,2,영월1,Serratella setigera,범꼬리하루살이,4
2024,2,영월1,Stenelmis nipponica,곰보긴다리여울벌레,4
2024,2,영월1,Stenelmis sp.,긴다리여울벌레류,15
2024,2,영월1,Teloganopsis punctisetae,등줄하루살이,308
2024,1,하안미천,Anisogomphus maacki,마아키측범잠자리,4
2024,1,하안미천,Antocha KUa,명주각다귀 KUa,52
2024,1,하안미천,Baetis ursinus,방울하루살이,4
2024,1,하안미천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),245
2024,1,하안미천,Dugesia sp.,플라나리아류,12
2024,1,하안미천,Physa acuta,왼돌이물달팽이,8
2024,1,하안미천,Pomacea canaliculata,왕우렁이,30
2024,1,하안미천,Radix auricularia,물달팽이,160
2024,1,하안미천,Semisulcospira gottschei,곳체다슬기,8
2024,2,하안미천,Baetis ursinus,방울하루살이,8
2024,2,하안미천,Cheumatopsyche brevilineata,꼬마줄날도래,26
2024,2,하안미천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),290
2024,2,하안미천,Choroterpes (Euthraulus) altioculus,세갈래하루살이,15
2024,2,하안미천,Dugesia sp.,플라나리아류,23
2024,2,하안미천,Elmidae sp.,여울벌레류,67
2024,2,하안미천,Epeorus pellucidus,부채하루살이,15
2024,2,하안미천,Gyraulus convexiusculus,또아리물달팽이,4
2024,2,하안미천,Hydropsyche kozhantschikovi,줄날도래,56
2024,2,하안미천,Malacopsephenoides japonicus,개울물삿갓벌레,4
2024,2,하안미천,Physa acuta,왼돌이물달팽이,4
2024,2,하안미천,Pomacea canaliculata,왕우렁이,34
2024,2,하안미천,Radix auricularia,물달팽이,34
2024,2,하안미천,Semisulcospira gottschei,곳체다슬기,15
2024,2,하안미천,Teloganopsis punctisetae,등줄하루살이,15
2024,1,판운천,Antocha KUa,명주각다귀 KUa,4
2024,1,판운천,Baetiella tuberculata,애호랑하루살이,193
2024,1,판운천,Baetis ursinus,방울하루살이,45
2024,1,판운천,Cheumatopsyche brevilineata,꼬마줄날도래,82
2024,1,판운천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),100
2024,1,판운천,Ecdyonurus levis,네점하루살이,15
2024,1,판운천,Ecdyonurus sp.,납작하루살이류,4
2024,1,판운천,Epeorus pellucidus,부채하루살이,130
2024,1,판운천,Hydropsyche kozhantschikovi,줄날도래,30
2024,1,판운천,Lamelligomphus ringens,노란측범잠자리,4
2024,1,판운천,Malacopsephenoides japonicus,개울물삿갓벌레,56
2024,1,판운천,Oreodytes natrix,노랑무늬물방개,4
2024,1,판운천,Serratella setigera,범꼬리하루살이,26
2024,1,판운천,Teloganopsis punctisetae,등줄하루살이,578
2024,2,판운천,Ceraclea KUb,나비날도래 KUb,4
2024,2,판운천,Cheumatopsyche brevilineata,꼬마줄날도래,23
2024,2,판운천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),8
2024,2,판운천,Choroterpes (Euthraulus) altioculus,세갈래하루살이,8
2024,2,판운천,Epeorus pellucidus,부채하루살이,4
2024,2,판운천,Glossiphonia paludosa,연두넙적거머리,4
2024,2,판운천,Gumaga orientalis,동양털날도래,4
2024,2,판운천,Hydropsyche kozhantschikovi,줄날도래,8
2024,2,판운천,Koreanomelania nodifila,염주알다슬기,67
2024,2,판운천,Koreoleptoxis globus ovalis,띠구슬다슬기,19
2024,2,판운천,Lamelligomphus ringens,노란측범잠자리,8
2024,2,판운천,Limnodrilus gotoi,실지렁이,4
2024,2,판운천,Malacopsephenoides japonicus,개울물삿갓벌레,8
2024,2,판운천,Potamanthus formosus,작은강하루살이,4
2024,2,판운천,Rhoenanthus coreanus,강하루살이,4
2024,2,판운천,Serratella setigera,범꼬리하루살이,8
2024,2,판운천,Stenelmis sp.,긴다리여울벌레류,12
2024,2,판운천,Teloganopsis punctisetae,등줄하루살이,8
2024,1,주천강-1(횡성),Alboglossiphonia heteroclita,달팽이넙적거머리,4
2024,1,주천강-1(횡성),Cheumatopsyche brevilineata,꼬마줄날도래,12
2024,1,주천강-1(횡성),Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),819
2024,1,주천강-1(횡성),Macromia amphigena,잔산잠자리,4
2024,1,주천강-1(횡성),Semisulcospira libertina,다슬기,52
2024,2,주천강-1(횡성),Baetis fuscatus,개똥하루살이,34
2024,2,주천강-1(횡성),Baetis ursinus,방울하루살이,4
2024,2,주천강-1(횡성),Cheumatopsyche brevilineata,꼬마줄날도래,26
2024,2,주천강-1(횡성),Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),42
2024,2,주천강-1(횡성),Dugesia sp.,플라나리아류,8
2024,2,주천강-1(횡성),Epeorus pellucidus,부채하루살이,8
2024,2,주천강-1(횡성),Semisulcospira libertina,다슬기,593
2024,1,주천강-2,Antocha KUa,명주각다귀 KUa,4
2024,1,주천강-2,Atrocalopteryx atrata,검은물잠자리,4
2024,1,주천강-2,Baetis ursinus,방울하루살이,56
2024,1,주천강-2,Ceratopogonidae sp.,등에모기류,8
2024,1,주천강-2,Cheumatopsyche brevilineata,꼬마줄날도래,30
2024,1,주천강-2,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),8149
2024,1,주천강-2,Davidius lunatus,쇠측범잠자리,4
2024,1,주천강-2,Dugesia sp.,플라나리아류,4
2024,1,주천강-2,Epeorus pellucidus,부채하루살이,8
2024,1,주천강-2,Glossiphonia complanata,갈색넙적거머리,4
2024,1,주천강-2,Hydropsyche kozhantschikovi,줄날도래,8
2024,1,주천강-2,Limnodrilus gotoi,실지렁이,8
2024,1,주천강-2,Radix auricularia,물달팽이,4
2024,2,주천강-2,Antocha KUa,명주각다귀 KUa,4
2024,2,주천강-2,Baetis fuscatus,개똥하루살이,4
2024,2,주천강-2,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),568
2024,2,주천강-2,Dugesia sp.,플라나리아류,4
2024,2,주천강-2,Limnodrilus gotoi,실지렁이,4
2024,2,주천강-2,Semisulcospira libertina,다슬기,86
2024,1,오미천(원주),Antocha KUa,명주각다귀 KUa,23
2024,1,오미천(원주),Arcynopteryx KUa,큰등그물강도래 KUa,23
2024,1,오미천(원주),Baetiella tuberculata,애호랑하루살이,278
2024,1,오미천(원주),Baetis ursinus,방울하루살이,489
2024,1,오미천(원주),Cheumatopsyche brevilineata,꼬마줄날도래,326
2024,1,오미천(원주),Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),4
2024,1,오미천(원주),Cincticostella orientalis,먹하루살이,41
2024,1,오미천(원주),Drunella aculea,뿔하루살이,37
2024,1,오미천(원주),Drunella ishiyamana,알통하루살이,71
2024,1,오미천(원주),Drunella triacantha,삼지창하루살이,26
2024,1,오미천(원주),Dugesia sp.,플라나리아류,19
2024,1,오미천(원주),Epeorus pellucidus,부채하루살이,41
2024,1,오미천(원주),Ephemerella atagosana,알락하루살이,12
2024,1,오미천(원주),Hydropsyche kozhantschikovi,줄날도래,23
2024,1,오미천(원주),Hydropsyche orientalis,동양줄날도래,34
2024,1,오미천(원주),Hydropsyche valvata,흰점줄날도래,15
2024,1,오미천(원주),Nigrobaetis bacillus,깜장하루살이,15
2024,1,오미천(원주),Ophiogomphus obscurus,측범잠자리,4
2024,1,오미천(원주),Paraleptophlebia japonica,두갈래하루살이,19
2024,1,오미천(원주),Rhoenanthus coreanus,강하루살이,4
2024,1,오미천(원주),Rhyacophila brevicephala,넓은머리물날도래,12
2024,1,오미천(원주),Rhyacophila lata,올챙이물날도래,45
2024,1,오미천(원주),Rhyacophila yamanakensis,곤봉물날도래,12
2024,1,오미천(원주),Simulium sp.,먹파리류,34
2024,1,오미천(원주),Stenelmis nipponica,곰보긴다리여울벌레,4
2024,1,오미천(원주),Stenopsyche bergeri,연날개수염치레각날도래,8
2024,1,오미천(원주),Stenopsyche marmorata,멋쟁이각날도래,15
2024,1,오미천(원주),Teloganopsis punctisetae,등줄하루살이,760
2024,2,오미천(원주),Acentrella sibirica,콩알하루살이,23
2024,2,오미천(원주),Antocha KUa,명주각다귀 KUa,19
2024,2,오미천(원주),Baetiella tuberculata,애호랑하루살이,97
2024,2,오미천(원주),Baetis fuscatus,개똥하루살이,15
